dataset,conf_type,model,acc,acc_se,ece,ece_se,brier,brier_se,auc_roc,auc_roc_se
GSM8K,Log Probabilities,Qwen3-4B,0.2373009855951478,0.0112278062257753,0.6512832746582542,0.0110331588571124,0.5892763366690332,0.0106230014603302,0.7761307554036803,0.0153626207812952
GSM8K,Verbalized Confidence,Qwen3-4B,0.2373009855951478,0.0112278062257753,0.7603866565579984,0.011204644900479,0.7585879454131919,0.0111883379904897,0.5195663082209618,0.0044700042880675
GSM8K,Log Probabilities,Qwen3-8B,0.2759666413949962,0.0122856104670722,0.5469387237134662,0.0113810352723244,0.4720348257521093,0.0103101539709911,0.8385334560727231,0.0133621472534825
GSM8K,Verbalized Confidence,Qwen3-8B,0.2759666413949962,0.0122856104670722,0.7228961334344198,0.0122683546399161,0.7226876421531463,0.0122624740253716,0.5019676658420115,0.0025949346135622
GSM8K,Log Probabilities,Qwen3-14B,0.3593631539044731,0.0134624347724473,0.5036514841956119,0.0122557289676717,0.4450849765923039,0.0111486638739957,0.8501897485831273,0.0115650520805389
GSM8K,Verbalized Confidence,Qwen3-14B,0.3593631539044731,0.0134624347724473,0.6253601213040182,0.0133029196613119,0.616101213040182,0.0129722369652435,0.6121439093201508,0.0122182363393326
GSM8K,Log Probabilities,Qwen3-32B,0.3957543593631539,0.0137562625521362,0.3673041773529107,0.0115822929476295,0.3064620704081292,0.0089659078220556,0.8680865025454649,0.0106926191661911
GSM8K,Verbalized Confidence,Qwen3-32B,0.3957543593631539,0.0137562625521362,0.5887111448066716,0.013683511712495,0.583842987111448,0.0132689627560599,0.5583666238817019,0.0127546908706848
MMLU,Log Probabilities,Qwen3-0.6B,0.4465493910690122,0.0042090662151357,0.4120396539875605,0.0042682569673478,0.4163966129125926,0.0036539921979352,0.6533013184216376,0.0047399823916417
MMLU,Verbalized Confidence,Qwen3-0.6B,0.4465175900868822,0.0041490762495359,0.4189018658310782,0.0043123099323343,0.4183637526713741,0.0042949213186567,0.616686561828705,0.0047929194979906
MMLU,Log Probabilities,Qwen3-1.7B,0.5559749323458197,0.0041853312502608,0.4074959785824334,0.0041347406220847,0.4063542891120734,0.0039025831568128,0.7076295110314197,0.0043181331605636
MMLU,Verbalized Confidence,Qwen3-1.7B,0.5559749323458197,0.0041853312502608,0.3469213787209799,0.0040877600392264,0.3582921877225466,0.0034820370788015,0.6182560240131586,0.003895191517559
MMLU,Log Probabilities,Qwen3-4B,0.6803874092009685,0.003902284540691,0.2906971218141628,0.0038128247706992,0.291321245975867,0.0036246432412855,0.7625139720854943,0.0041683247788478
MMLU,Verbalized Confidence,Qwen3-4B,0.6803874092009685,0.003902284540691,0.2692244694487964,0.0038799166892094,0.2884241917105825,0.0034875653295942,0.5328390885918377,0.0027573870353247
MMLU,Log Probabilities,Qwen3-8B,0.7225466457769548,0.0037416293070199,0.241420795661638,0.0035938713356754,0.2420195369514102,0.0033616748081299,0.8159220099079112,0.0037870204058557
MMLU,Verbalized Confidence,Qwen3-8B,0.7225466457769548,0.0037416293070199,0.2456558894744338,0.0037065728685799,0.2567440535536248,0.0034434745937387,0.6145108925094038,0.0040772092768952
MMLU,Log Probabilities,Qwen3-14B,0.7687651331719129,0.0034849643799474,0.2050273272534786,0.003384944875407,0.2070716063281918,0.0031971905476657,0.8206558717470775,0.0040600943253519
MMLU,Verbalized Confidence,Qwen3-14B,0.7687651331719129,0.0034849643799474,0.1387850733513744,0.0034003812090707,0.188203973792907,0.0027147046337639,0.6743152370813519,0.0050324063721499
MMLU,Log Probabilities,Qwen3-32B,0.8038028770830367,0.0034285785800885,0.1410796242406473,0.0031992639197891,0.1536481489488621,0.0027021327760117,0.8409574511704759,0.0038644175652071
MMLU,Verbalized Confidence,Qwen3-32B,0.8038028770830367,0.0034285785800885,0.1233556473436832,0.0033538350914049,0.1662297108673977,0.0028079507782859,0.6343316122478088,0.0051511736058534
